window
water
university
tv
trophy
tree
train
Toilet
theatre
television
telephone
table
street
stapler
snow
sea
road
railway
proposal
phone
party
park
paper
office
night
newspaper
museum
mug
money
mirror
milk
manager
machine
lunch
library
kitchen
house
hotel
hospital
group
garden
game
gallery
fruit
football
food
fish
fire
drink
door
dog
desk
cup
Copier
computer
company
coffee
church
Chair
cat
cash
car
cabinet
bridge
bread
bottle
book
boat
bedroom
bed
bar
baby
art
aircraft
agriculture
